LotArea,SalePrice,Rooms,HasGarage,NoiseFeature,Neighborhood,Condition,Description,SaleDate,ImagePath
513,131307.50652350238,6,0,-2.1017043281098022,B,Fair,near school renovated spacious sunny central big kitchen cozy central sunny cozy,2000-10-06,house_images/img_37.png
5763,173017.62579809254,4,1,-0.8525422430590254,C,Poor,garden cozy bright renovated cozy near school,2006-07-19,house_images/img_38.png
2900,213554.8558081908,3,0,0.07288153297087471,B,Poor,beautiful view modern quiet renovated central,2002-11-06,house_images/img_39.png
650,166779.86282715495,3,0,1.0619247854880811,D,Poor,beautiful view central central cozy beautiful view,2017-08-18,house_images/img_40.png
3417,166091.7865581712,1,1,-0.8555192045763543,B,Poor,modern sunny renovated beautiful view garage cozy spacious quiet luxury cozy central renovated,2017-05-16,house_images/img_41.png
174,114577.20521408493,3,1,1.0101624535271547,A,Good,spacious garden renovated bright central cozy big kitchen central big kitchen spacious,2002-08-19,house_images/img_42.png
12002,116838.68961436574,4,1,-1.210682985806877,B,Good,garage spacious near school central garden garden,2018-09-10,house_images/img_43.png
1497,80716.42491551783,5,1,-0.9195224661394502,A,Fair,bright bright garden modern modern spacious luxury,2016-07-13,house_images/img_44.png
5431,390345.8311018403,3,1,1.4491566033964518,C,Fair,near school cozy big kitchen big kitchen spacious beautiful view,2010-07-12,house_images/img_45.png
1867,87384.07897603273,6,1,0.04762101996249564,B,Poor,big kitchen garage garden garage beautiful view near school quiet,2003-05-02,house_images/img_46.png
3670,115098.94182059167,5,1,-0.17362194528464336,B,Poor,quiet quiet modern renovated renovated luxury central,2008-10-25,house_images/img_47.png
3956,113640.62857267894,3,1,0.23527998990782686,B,Poor,near school quiet beautiful view beautiful view modern renovated beautiful view quiet big kitchen spacious garden,2001-01-09,house_images/img_48.png
1021,254603.366691441,6,0,-1.2064032507180458,A,Fair,modern cozy spacious renovated luxury big kitchen spacious cozy sunny big kitchen spacious,2016-06-12,house_images/img_49.png
17464,140438.5296811747,6,0,-0.3308481285738224,A,Poor,cozy bright spacious bright renovated garden central quiet,2011-04-23,house_images/img_50.png
7461,303722.895379506,8,0,0.002661158126551583,B,Excellent,cozy garden beautiful view renovated near school garden spacious modern spacious sunny,2003-10-24,house_images/img_51.png
14025,116221.68081472936,2,1,1.2313809361794323,B,Fair,beautiful view garage renovated garage renovated beautiful view central garden garage cozy cozy central,2005-09-07,house_images/img_52.png
11260,187118.44314072738,1,0,-1.6704171393014011,C,Excellent,bright beautiful view quiet near school spacious renovated renovated garage bright modern cozy,2002-02-13,house_images/img_53.png
4555,107186.59502272971,4,1,1.7629903153757707,C,Poor,beautiful view beautiful view near school renovated garden renovated sunny quiet beautiful view bright,2011-10-26,house_images/img_54.png
12747,475715.1662552886,7,0,-0.12464773832504308,D,Good,garage sunny spacious renovated bright spacious renovated modern garage spacious renovated renovated,2016-12-18,house_images/img_55.png
463,89877.30940930842,3,0,-1.110556248967009,C,Excellent,luxury garage big kitchen garage garage bright luxury renovated renovated garden luxury sunny,2018-12-26,house_images/img_56.png
1090,190024.8923849341,3,1,-1.2916347161343913,C,Fair,sunny bright central beautiful view renovated big kitchen garage,2009-05-17,house_images/img_57.png
231,223437.81920205426,5,0,0.2731493170042062,C,Excellent,big kitchen quiet bright renovated cozy renovated beautiful view luxury beautiful view cozy beautiful view quiet,2005-10-24,house_images/img_58.png
1967,200165.4490348555,5,0,-1.3472094800685257,A,Fair,cozy quiet garden sunny beautiful view renovated renovated,2012-07-25,house_images/img_59.png
2460,148353.93797960336,3,0,-0.5601235450930988,C,Poor,near school sunny spacious renovated luxury quiet,2015-11-25,house_images/img_60.png
1582,152525.8929012346,9,0,-0.2499030608777983,C,Excellent,spacious renovated quiet near school quiet central near school renovated luxury quiet sunny,2009-11-02,house_images/img_61.png
8822,166359.39147830993,4,1,1.1436757394048258,B,Good,modern sunny renovated beautiful view modern beautiful view quiet,2017-02-20,house_images/img_62.png
2206,151221.20826374085,3,1,1.0184534592639736,A,Excellent,quiet spacious central spacious quiet big kitchen beautiful view garden,2000-10-06,house_images/img_63.png
1649,263534.49742083705,2,1,-0.6429923901189591,D,Good,sunny sunny bright garage central luxury luxury quiet bright garage,2013-04-03,house_images/img_64.png
3912,491521.7651961371,9,0,-0.21268317022092195,D,Fair,garage sunny renovated spacious beautiful view spacious garden sunny luxury garden,2007-09-12,house_images/img_65.png
759,123161.78650512075,4,1,-1.5953849001757456,C,Poor,cozy quiet modern garden garage bright beautiful view quiet,2006-05-31,house_images/img_66.png
8102,82051.18265197017,3,0,-2.03909551324372,D,Poor,beautiful view beautiful view spacious renovated renovated,2004-01-14,house_images/img_67.png
387,155726.87894278354,7,1,-1.2290524475926197,D,Good,modern cozy bright quiet sunny cozy,2005-01-31,house_images/img_68.png
21670,591167.4968422775,8,1,1.1230973613258104,D,Fair,near school sunny near school beautiful view spacious,2015-06-08,house_images/img_69.png
7397,108897.53966033892,2,1,0.78008072222146,C,Poor,cozy modern spacious bright big kitchen garage,2014-03-20,house_images/img_70.png
1107,369371.57797054213,7,0,0.383436262596614,D,Fair,spacious modern garden spacious bright cozy renovated central beautiful view cozy,2007-11-29,house_images/img_71.png
27,376566.67683069455,5,1,-1.457624486620577,C,Good,cozy quiet near school sunny big kitchen near school bright renovated garage renovated beautiful view spacious,2002-11-25,house_images/img_72.png
8449,123402.40492809848,5,1,-0.7116595773911455,B,Good,sunny spacious quiet modern big kitchen spacious bright beautiful view spacious,2005-04-06,house_images/img_73.png
6135,216315.12587986933,3,1,-0.8578210281786216,B,Excellent,central spacious central renovated near school renovated,2010-05-27,house_images/img_74.png
6528,367397.00930309895,5,1,-0.16599837062056236,D,Poor,renovated sunny big kitchen garden spacious bright quiet spacious near school cozy sunny spacious,2016-09-14,house_images/img_75.png
7376,134650.27351031345,2,1,-0.22905355663211582,B,Poor,bright sunny garage modern luxury luxury luxury garage near school renovated,2012-07-28,house_images/img_76.png
384,147003.22730105434,4,0,-1.0019568566958286,C,Excellent,spacious cozy central bright beautiful view renovated quiet,2017-05-20,house_images/img_77.png
2219,121681.17009176161,6,1,0.3492168078985434,B,Good,beautiful view cozy quiet sunny garden bright,2006-10-09,house_images/img_78.png
615,97990.09044713437,1,1,0.2289463802042389,D,Good,spacious garden sunny bright beautiful view spacious luxury,2011-05-02,house_images/img_79.png
9942,117637.2748773262,4,0,-0.7288230990929465,C,Good,garden garden beautiful view sunny cozy garden beautiful view sunny luxury spacious luxury,2005-01-25,house_images/img_80.png
4881,88258.90415257933,6,0,0.30427839163253123,A,Good,luxury spacious spacious renovated near school,2009-09-11,house_images/img_81.png
2009,165552.18380998468,9,0,1.1242853683305207,C,Fair,spacious spacious beautiful view near school modern garden cozy renovated garden bright cozy spacious,2018-06-23,house_images/img_82.png
328,110748.08366096477,2,1,1.4280607771232459,B,Poor,luxury central spacious garage modern big kitchen modern garage central garage bright,2012-06-15,house_images/img_83.png
1862,182936.2400151974,7,0,0.490662156609859,A,Poor,modern near school sunny central big kitchen renovated,2001-08-17,house_images/img_84.png
1966,74761.04031721082,6,0,0.46126794340935595,C,Good,modern cozy garage near school quiet garage spacious near school modern,2014-12-05,house_images/img_85.png
6539,192036.38074501546,2,0,-0.24013891402431137,A,Good,bright big kitchen renovated luxury beautiful view modern,2001-05-21,house_images/img_86.png
5074,246906.37145304584,8,1,1.029712895535159,A,Good,garden near school beautiful view cozy central bright sunny modern,2013-05-21,house_images/img_87.png
10911,60061.97223322881,7,1,-1.0703514513397872,A,Poor,quiet central spacious garage sunny garden renovated luxury cozy beautiful view garden,2000-01-21,house_images/img_88.png
3195,196227.16749934413,5,0,0.9138501434081648,C,Poor,cozy spacious spacious renovated modern,2003-10-31,house_images/img_89.png
636,300689.8146395935,5,1,-0.2876047341808028,B,Good,luxury garden modern luxury garden near school garden,2008-10-06,house_images/img_90.png
6245,88892.18329131846,7,1,1.4909368272017296,C,Fair,quiet spacious bright garden quiet near school near school renovated bright quiet modern,2018-07-08,house_images/img_91.png
7151,375602.31637088186,9,0,0.5882064070400744,B,Excellent,spacious cozy garden modern garden modern,2006-09-27,house_images/img_92.png
4119,200688.55438502313,9,0,-0.06786623107310033,C,Excellent,spacious bright modern bright garage modern central garage garage quiet,2014-03-18,house_images/img_93.png
7369,114404.31458503488,9,1,-0.23648764890427343,C,Excellent,big kitchen near school big kitchen cozy luxury luxury big kitchen sunny,2015-02-14,house_images/img_94.png
3404,158279.13985686738,6,0,0.525612854448437,C,Poor,renovated cozy spacious central big kitchen,2015-07-22,house_images/img_95.png
3698,215165.6458452942,6,1,0.4771243476860553,B,Poor,modern garden big kitchen sunny luxury quiet luxury bright central spacious,2010-01-26,house_images/img_96.png
2789,169058.94088016654,3,1,-0.39834300450052773,C,Excellent,garden luxury beautiful view modern central near school central bright,2016-03-07,house_images/img_97.png
128,213070.41911416737,1,0,0.09183575826834649,A,Excellent,garden modern garden cozy garden big kitchen beautiful view sunny,2015-02-07,house_images/img_98.png
570,102709.83990609564,7,1,0.8963900873486018,C,Fair,garage garage luxury spacious bright garden beautiful view renovated near school bright near school,2000-12-02,house_images/img_99.png
159,177137.29910580284,4,1,-1.3633562578802498,A,Poor,bright garage bright near school bright garden renovated renovated garage spacious,2004-07-25,house_images/img_100.png
5058,80269.31934715074,1,0,0.7258782205537132,D,Poor,garage central modern big kitchen garden renovated cozy beautiful view renovated beautiful view sunny,2009-10-16,house_images/img_101.png
1886,153950.58747016487,8,1,0.5212145783593538,D,Excellent,cozy bright garage luxury sunny sunny beautiful view garage central garden,2002-06-28,house_images/img_102.png
3552,103574.47304509184,6,1,1.1866474755614906,B,Fair,quiet garden bright modern central bright beautiful view,2000-10-02,house_images/img_103.png
11906,112671.8655542542,6,0,-0.7156537013032378,B,Fair,spacious big kitchen spacious central quiet renovated beautiful view luxury luxury quiet sunny,2002-06-10,house_images/img_104.png
1433,301959.01873778104,2,0,0.005716086092890965,D,Excellent,garage bright garage central luxury near school bright bright sunny garden beautiful view big kitchen,2000-01-13,house_images/img_105.png
2641,280872.2055350208,1,0,0.2050683760048956,C,Excellent,near school near school bright modern central garden quiet central central,2014-01-09,house_images/img_106.png
7043,220702.0896435659,2,0,0.7387965172002353,C,Poor,quiet garden renovated central luxury modern garage sunny luxury near school spacious spacious,2011-02-09,house_images/img_107.png
1299,94262.96143047103,4,1,0.4291169291610002,C,Excellent,cozy central central renovated big kitchen modern,2008-04-13,house_images/img_108.png
400,138939.76531743997,2,0,-1.2395550988122745,D,Good,central garage bright luxury luxury quiet,2002-08-31,house_images/img_109.png
1710,298507.0560785732,1,1,0.29104403286164604,A,Fair,beautiful view spacious luxury near school modern spacious near school near school central quiet,2011-09-10,house_images/img_110.png
879,174705.7583288051,7,0,2.004228774270408,B,Excellent,central garden central bright quiet garden quiet,2010-11-14,house_images/img_111.png
13274,519002.91047858517,8,1,0.6117575759613151,A,Good,big kitchen renovated bright big kitchen near school sunny spacious,2003-11-09,house_images/img_112.png
8254,198126.08891453643,6,0,1.6380469445366,D,Fair,garage central quiet spacious quiet luxury sunny sunny,2015-08-31,house_images/img_113.png
5017,179158.2116201503,4,1,1.0430613772948123,A,Good,near school luxury near school garden big kitchen beautiful view garage,2005-04-27,house_images/img_114.png
10257,139447.26329872658,6,1,1.3624019354384092,C,Good,beautiful view quiet quiet central garden sunny spacious renovated,2006-04-07,house_images/img_115.png
8139,173993.01824991382,3,0,0.3099686609847051,C,Excellent,beautiful view near school sunny bright central garage,2001-06-30,house_images/img_116.png
1032,150808.3465968418,8,0,0.5218451096121169,A,Fair,near school big kitchen renovated cozy luxury central garden big kitchen cozy,2016-11-09,house_images/img_117.png
11154,231898.33382783135,2,0,0.2555177566413748,D,Good,sunny spacious modern spacious spacious garage,2003-05-03,house_images/img_118.png
3875,262590.52491864323,5,1,0.004340865049522787,A,Poor,cozy bright luxury spacious quiet,2003-11-21,house_images/img_119.png
8236,109864.74197297443,1,1,0.7421949800691044,C,Fair,central spacious near school beautiful view central,2003-12-25,house_images/img_120.png
11321,83648.89723310276,6,0,-0.5210019390072009,C,Poor,renovated cozy luxury quiet central big kitchen quiet modern big kitchen near school modern quiet,2009-03-31,house_images/img_121.png
1913,64984.06165149127,2,0,1.8853823160146332,D,Excellent,renovated near school quiet bright central,2007-08-04,house_images/img_122.png
582,209817.9782200569,4,0,-0.9280129676882737,A,Poor,luxury sunny bright garden cozy bright,2015-02-20,house_images/img_123.png
1293,93743.41458259335,6,0,0.8113881199171586,C,Fair,modern cozy big kitchen luxury quiet modern modern beautiful view renovated cozy modern quiet,2011-03-22,house_images/img_124.png
2785,55467.61985968507,8,0,1.3786714173035888,C,Good,spacious quiet cozy bright quiet,2007-07-01,house_images/img_125.png
8519,197657.16168905536,8,1,-0.17662175396040314,A,Good,cozy sunny beautiful view cozy big kitchen sunny cozy,2010-04-05,house_images/img_126.png
9856,566085.1336685448,6,0,-1.1129773111381638,A,Fair,spacious sunny spacious spacious garage,2005-01-16,house_images/img_127.png
34,162261.50550085882,4,0,1.1555295892823547,B,Good,luxury renovated renovated quiet luxury near school,2002-01-16,house_images/img_128.png
3574,247519.68352581543,8,0,0.2033953100502551,D,Poor,sunny garage luxury modern sunny garden renovated bright renovated garden big kitchen quiet,2007-09-17,house_images/img_129.png
2701,169551.95521439918,8,0,0.8133160726017432,D,Good,cozy central garage big kitchen beautiful view quiet quiet,2002-05-21,house_images/img_130.png
1255,154903.1208016549,1,0,-0.10945459883731741,A,Good,garden garage garden big kitchen bright luxury bright garage central,2001-05-09,house_images/img_131.png
638,257696.60994102687,4,1,1.731924682322397,D,Poor,luxury luxury sunny cozy garage big kitchen,2017-12-17,house_images/img_132.png
2059,140767.1981535812,4,1,-2.1170080522063484,C,Poor,garden garden beautiful view garage modern,2015-02-01,house_images/img_133.png
14315,186036.12551510634,7,1,0.3761775512837346,A,Poor,near school central big kitchen modern quiet,2009-06-06,house_images/img_134.png
1951,191156.72171170491,7,0,1.3417494837515977,A,Excellent,bright garage renovated spacious cozy renovated modern central beautiful view renovated bright,2012-12-06,house_images/img_135.png
3657,116535.9133030391,8,0,0.10533904482939617,A,Poor,modern big kitchen spacious quiet bright bright renovated sunny big kitchen sunny bright quiet,2002-12-11,house_images/img_136.png
6070,267271.74057093,5,1,0.3023586930169115,B,Poor,modern garage renovated central near school beautiful view,2010-12-08,house_images/img_137.png
2259,149122.01190077874,7,0,-0.4340118125670084,D,Excellent,luxury garage garage sunny bright modern quiet near school renovated renovated big kitchen modern,2011-08-08,house_images/img_138.png
17838,111538.75860128937,8,1,0.02068850786661747,B,Good,renovated bright cozy central garage garage,2015-04-15,house_images/img_139.png
16410,212831.25949513496,9,1,-1.671856613136305,C,Poor,spacious central modern spacious bright cozy big kitchen renovated,2000-02-15,house_images/img_140.png
1450,103856.56142952594,3,0,-0.7184313326196915,D,Fair,spacious renovated luxury near school central central quiet garden spacious bright cozy spacious,2019-02-17,house_images/img_141.png
3438,165064.33379597685,3,0,-0.7867551271022283,B,Poor,central cozy spacious central cozy beautiful view beautiful view sunny quiet renovated renovated,2008-05-14,house_images/img_142.png
1789,162014.40040906545,4,1,0.6691239910292981,A,Poor,garage spacious modern cozy spacious central garden spacious cozy,2005-08-19,house_images/img_143.png
1676,280112.8349431487,5,1,-0.5713697592877345,B,Excellent,modern beautiful view quiet garden central quiet big kitchen renovated cozy garden garage,2001-10-25,house_images/img_144.png
187,206354.14380945216,1,1,-0.5424755499398202,A,Fair,garage beautiful view garage sunny luxury cozy big kitchen bright garage big kitchen,2012-10-12,house_images/img_145.png
4702,160730.85236377557,7,1,-0.37792336028513973,B,Good,cozy big kitchen cozy renovated renovated quiet modern,2005-07-22,house_images/img_146.png
3492,244968.0687989538,9,1,-0.7486447025153175,B,Good,central big kitchen garage sunny renovated quiet renovated luxury garage luxury cozy,2015-06-20,house_images/img_147.png
264,326147.0963922366,8,1,0.26902226926169737,B,Fair,garage spacious garage sunny big kitchen central,2015-08-27,house_images/img_148.png
1633,215110.07507256136,5,1,0.3776314694329093,A,Poor,garden garden modern sunny near school garden spacious bright bright quiet,2007-05-20,house_images/img_149.png
11944,163599.44486866222,4,1,0.8250185797217593,B,Excellent,luxury luxury cozy garage garage renovated cozy,2013-09-17,house_images/img_150.png
1369,84464.10108332573,7,1,0.6527500822879425,D,Fair,renovated bright near school big kitchen near school big kitchen near school garden cozy cozy spacious,2001-10-01,house_images/img_151.png
782,95553.65187554133,5,1,0.5527577449847006,D,Fair,central near school garden cozy big kitchen sunny big kitchen modern spacious quiet,2007-04-17,house_images/img_152.png
3361,139718.8751051015,7,0,-0.3289683339974436,D,Good,garage beautiful view sunny garage near school beautiful view luxury quiet garage garden spacious,2007-07-08,house_images/img_153.png
21220,119999.62525932615,1,0,-0.39310375033787887,A,Excellent,big kitchen quiet central cozy cozy central bright beautiful view,2013-09-13,house_images/img_154.png
1385,148229.10291466155,1,1,-0.8712110023484563,A,Fair,beautiful view beautiful view bright cozy cozy,2017-04-22,house_images/img_155.png
5575,167430.72497312888,3,1,-0.8892436888941013,D,Excellent,garden garden beautiful view luxury renovated garden bright beautiful view garden quiet near school,2013-08-04,house_images/img_156.png
7169,212107.04960543985,2,1,0.1942614096792605,D,Poor,near school near school garage sunny garage,2014-01-12,house_images/img_157.png
1356,157117.71979403126,2,1,-0.7194160407800809,D,Good,big kitchen luxury near school bright luxury quiet garage garden big kitchen big kitchen sunny,2013-07-19,house_images/img_158.png
6513,207575.58593998113,7,1,1.4683241333559591,C,Poor,sunny spacious quiet cozy near school sunny,2012-01-20,house_images/img_159.png
2292,168087.03797397448,2,1,-0.037500823074493095,D,Excellent,spacious garden luxury cozy near school renovated bright big kitchen central quiet bright bright,2007-02-08,house_images/img_160.png
5002,60613.12403371797,4,1,1.5013901071595404,B,Poor,quiet big kitchen garage renovated near school,2017-09-18,house_images/img_161.png
5019,101755.92200053112,2,0,0.5717670545711673,C,Good,beautiful view big kitchen cozy big kitchen garage,2009-05-20,house_images/img_162.png
3836,151441.73191651012,6,1,-0.7772364344717115,C,Excellent,modern near school modern bright luxury bright spacious near school cozy luxury bright beautiful view,2016-03-09,house_images/img_163.png
473,88889.79549489898,8,1,-0.06204618858181776,A,Fair,garden bright spacious near school renovated modern,2001-01-29,house_images/img_164.png
9018,219688.15994465363,4,0,-1.6734523411177162,B,Poor,renovated cozy sunny garden central sunny,2017-08-22,house_images/img_165.png
1934,349890.4610918693,5,1,0.19042535506528505,A,Good,central luxury spacious garden cozy beautiful view cozy garage,2009-11-06,house_images/img_166.png
1032,299353.64894761547,4,1,-0.6857684078453173,A,Fair,garden central bright modern luxury big kitchen big kitchen quiet bright renovated big kitchen,2013-04-06,house_images/img_167.png
208,146280.10126552152,3,1,-1.1134580082152612,B,Good,central big kitchen beautiful view quiet big kitchen modern bright modern central spacious modern,2006-05-21,house_images/img_168.png
4468,342957.9309810739,5,1,1.5221467585480473,A,Excellent,big kitchen central bright quiet near school,2000-11-25,house_images/img_169.png
5659,175313.96454954482,9,0,1.0305877409842874,B,Excellent,renovated cozy garden bright spacious,2005-09-28,house_images/img_170.png
83,137510.70043976977,8,1,1.0030389787624625,B,Poor,modern bright garden garden quiet sunny sunny spacious cozy big kitchen,2016-10-10,house_images/img_171.png
3588,119766.42519288133,8,1,0.7821112766509443,A,Good,quiet spacious near school luxury near school quiet garden quiet modern,2002-02-11,house_images/img_172.png
1284,139911.47172503266,8,1,-1.234889044125783,D,Good,luxury garden central beautiful view luxury bright central big kitchen,2004-07-03,house_images/img_173.png
5180,134042.41929345843,8,1,-0.4004794928068376,A,Good,near school garden renovated big kitchen big kitchen,2004-09-28,house_images/img_174.png
958,177230.79897919754,7,0,-0.33950364146988704,C,Excellent,near school renovated garden near school sunny,2012-03-31,house_images/img_175.png
5871,176360.7673533868,8,0,-1.7097370740989313,A,Poor,bright luxury spacious garden renovated bright quiet bright,2004-11-22,house_images/img_176.png
2444,163002.8574619588,8,1,-0.5570010948439893,B,Good,beautiful view quiet garage near school garage cozy modern luxury renovated sunny garage,2004-06-11,house_images/img_177.png
13801,202494.71873611945,8,1,-0.5460979756170437,C,Good,luxury near school near school quiet near school beautiful view spacious beautiful view sunny cozy sunny,2002-09-26,house_images/img_178.png
739,295174.83990239544,7,1,0.12599894749496204,B,Fair,spacious cozy sunny spacious beautiful view cozy big kitchen garden big kitchen,2005-01-22,house_images/img_179.png
2085,261653.6777573958,1,0,2.5323876002383434,D,Good,luxury modern modern luxury quiet modern big kitchen bright central,2004-04-10,house_images/img_180.png
602,77462.63854216808,4,1,-0.02089627660473875,D,Poor,central sunny bright renovated cozy garage cozy garden quiet cozy luxury renovated,2002-02-12,house_images/img_181.png
12930,45389.652182234066,4,1,0.1265144545696673,C,Fair,garden beautiful view renovated big kitchen bright big kitchen garden central,2014-03-07,house_images/img_182.png
10491,259668.2037511351,5,1,-0.250210272764142,D,Fair,central cozy garden quiet modern quiet spacious beautiful view spacious bright,2004-12-08,house_images/img_183.png
1491,82171.24076544373,6,1,0.7377128800537445,D,Fair,bright central luxury luxury cozy luxury,2003-01-03,house_images/img_184.png
5393,145454.31049357445,4,1,-1.073917208645777,A,Excellent,modern central central luxury near school sunny bright bright beautiful view near school garage,2005-08-12,house_images/img_185.png
8497,90666.52435277856,2,1,1.896037495153939,A,Fair,quiet spacious cozy cozy luxury,2004-05-17,house_images/img_186.png
4050,66105.66867302712,6,1,-0.12415920746681924,D,Good,central bright garage near school cozy quiet spacious garage central,2002-01-17,house_images/img_187.png
3771,213358.9769938454,8,1,-0.39518983303106436,D,Excellent,big kitchen garden modern garage near school quiet big kitchen renovated garden near school,2015-03-30,house_images/img_188.png
1384,237893.3112643905,8,1,0.9700370736637999,A,Excellent,garden modern beautiful view cozy garden garden beautiful view sunny modern,2016-01-17,house_images/img_189.png
488,121996.15412301135,7,0,-0.8909225920448536,D,Excellent,garage luxury luxury beautiful view modern renovated,2010-11-17,house_images/img_190.png
11375,44554.96408337019,6,1,0.7192509830553334,D,Excellent,sunny big kitchen sunny cozy garage central luxury near school garden sunny modern,2006-05-11,house_images/img_191.png
11533,123856.35874066238,2,1,1.4051700555953608,B,Excellent,beautiful view cozy cozy cozy quiet near school spacious renovated quiet spacious garden bright,2004-04-02,house_images/img_192.png
